,Unnamed: 0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
162,162,8,11.0,11,1,0,72.72,3,caught,2,Australia,Sydney,23-Jan-16
163,163,85,109.0,81,9,1,104.93,3,not out,2,New Zealand,Dharamsala,16-Oct-16
164,164,9,18.0,13,1,0,69.23,3,caught,2,New Zealand,Delhi,20-Oct-16
165,165,154,202.0,134,16,1,114.92,3,not out,2,New Zealand,Mohali,23-Oct-16
166,166,45,64.0,51,2,1,88.23,3,caught,2,New Zealand,Ranchi,26-Oct-16
167,167,65,152.0,76,2,1,85.52,3,caught,1,New Zealand,Visakhapatnam,29-Oct-16
168,168,122,147.0,105,8,5,116.19,3,caught,2,England,Pune,15-Jan-17
169,169,8,6.0,5,2,0,160.0,3,caught,1,England,Cuttack,19-Jan-17
170,170,55,81.0,63,8,0,87.3,3,caught,2,England,Eden Gardens,22-Jan-17
171,171,81,108.0,68,6,3,119.11,3,not out,1,Pakistan,Birmingham,04-Jun-17
172,172,0,5.0,5,0,0,0.0,3,caught,1,Sri Lanka,The Oval,08-Jun-17
173,173,76,136.0,101,7,1,75.24,3,not out,2,South Africa,The Oval,11-Jun-17
174,174,96,96.0,78,13,0,123.07,3,not out,2,Bangladesh,Birmingham,15-Jun-17
175,175,5,11.0,9,0,0,55.55,3,caught,2,Pakistan,The Oval,18-Jun-17
176,176,32,72.88796680497926,47,1,0,68.08,3,not out,1,West Indies,Port of Spain,23-Jun-17
177,177,87,72.88796680497926,66,4,4,131.81,3,caught,1,West Indies,Port of Spain,25-Jun-17
178,178,11,72.88796680497926,22,2,0,50.0,3,caught,1,West Indies,North Sound,30-Jun-17
179,179,3,72.88796680497926,12,0,0,25.0,3,caught,2,West Indies,North Sound,02-Jul-17
180,180,111,72.88796680497926,115,12,2,96.52,3,not out,2,West Indies,Kingston,06-Jul-17
181,181,82,72.88796680497926,70,10,1,117.14,3,not out,2,Sri Lanka,Dambulla,20-Aug-17
182,182,4,72.88796680497926,2,1,0,200.0,5,bowled,2,Sri Lanka,Pallekele,24-Aug-17
183,183,3,72.88796680497926,11,0,0,27.27,3,caught,2,Sri Lanka,Pallekele,27-Aug-17
184,184,131,72.88796680497926,96,17,2,136.45,3,caught,1,Sri Lanka,Colombo (RPS),31-Aug-17
185,185,110,72.88796680497926,116,9,0,94.82,3,not out,2,Sri Lanka,Colombo (RPS),03-Sep-17
186,186,0,7.0,4,0,0,0.0,3,caught,1,Australia,Chennai,17-Sep-17
187,187,92,148.0,107,8,0,85.98,3,bowled,1,Australia,Eden Gardens,21-Sep-17
188,188,28,58.0,35,2,0,80.0,3,caught,2,Australia,Indore,24-Sep-17
